text/html,html,HTML
application/xhtml+xml,html,HTML
text/plain,plain,plaintext
application/pdf,pdf,PDF
application/vnd.ms-excel,excel,Excel
application/ms-powerpoint,powerpoint,PowerPoint
application/msword,word,Word
