text/html,html,HTML
application/xhtml+xml,html,HTML
text/plain,plain,テキスト
application/pdf,pdf,PDF
application/vnd.ms-excel,excel,Excel
application/vnd.ms-powerpoint,powerpoint,PowerPoint
application/msword,word,Word
application/vnd.oasis.opendocument.spreadsheet,ods,OpenDocument Spreadsheet
